"county","state","total_customer_last_month","churn_count_last_month","churn_percent_fiber","churn_percent_dsl","churn_percent_only_phone"
"Jackson","AL","10","3","0.67","0.33","0.00"
"Penobscot","ME","9","3","0.00","0.67","0.33"
"Lehigh","PA","7","3","0.33","0.00","0.67"
"Perry","OH","5","3","0.00","0.67","0.33"
"Centre","PA","12","3","0.33","0.33","0.33"
"Jefferson","NY","8","3","1.00","0.00","0.00"
"Woodbury","IA","7","3","1.00","0.00","0.00"
"Wood","WI","3","3","0.33","0.67","0.00"
"Sangamon","IL","7","3","0.33","0.33","0.33"
"Bee","TX","3","3","0.00","1.00","0.00"
"Winston","AL","3","3","0.00","0.67","0.33"
"Lawrence","TN","3","3","0.00","0.33","0.67"
"Clinton","PA","5","3","0.67","0.33","0.00"
"Iroquois","IL","12","3","0.67","0.00","0.33"
"Indiana","PA","8","3","0.33","0.67","0.00"
"Westmoreland","PA","22","3","1.00","0.00","0.00"
"Fayette","OH","4","2","0.50","0.00","0.50"
"Marion","AR","2","2","1.00","0.00","0.00"
"Marion","FL","9","2","0.50","0.50","0.00"
"Marion","WV","5","2","0.50","0.50","0.00"
"Marshall","MN","4","2","1.00","0.00","0.00"
"Mason","WV","2","2","0.00","1.00","0.00"
"Matanuska-Susitna","AK","4","2","0.50","0.00","0.50"
"Mathews","VA","7","2","1.00","0.00","0.00"
"Maui","HI","5","2","0.50","0.50","0.00"
"Mayes","OK","2","2","0.50","0.50","0.00"
"Dickens","TX","2","2","0.50","0.00","0.50"
"McDonough","IL","6","2","0.00","0.50","0.50"
"McDowell","WV","8","2","0.50","0.00","0.50"
"McHenry","IL","8","2","1.00","0.00","0.00"
"McNairy","TN","7","2","0.00","1.00","0.00"
"Anne Arundel","MD","11","2","0.50","0.00","0.50"
"Dinwiddie","VA","6","2","0.00","0.50","0.50"
"Caddo","LA","7","2","0.50","0.00","0.50"
"Meade","KY","3","2","1.00","0.00","0.00"
"Anoka","MN","3","2","0.50","0.00","0.50"
"Meigs","OH","4","2","0.50","0.00","0.50"
"DoÃ±a Ana","NM","5","2","0.50","0.50","0.00"
"Merced","CA","8","2","0.50","0.50","0.00"
"Mercer","IL","3","2","0.00","1.00","0.00"
"Doddridge","WV","2","2","0.50","0.50","0.00"
"Merrimack","NH","8","2","0.50","0.50","0.00"
"Dolores","CO","2","2","1.00","0.00","0.00"
"Middlesex","CT","3","2","0.00","0.50","0.50"
"Middlesex","NJ","7","2","0.00","0.50","0.50"
"Millard","UT","7","2","0.00","1.00","0.00"
"Miller","GA","2","2","1.00","0.00","0.00"
"Mingo","WV","3","2","0.50","0.50","0.00"
"Mohave","AZ","8","2","0.50","0.50","0.00"
"Mono","CA","4","2","0.50","0.50","0.00"
"Monroe","AR","3","2","0.50","0.00","0.50"
"Monroe","MO","3","2","0.50","0.50","0.00"
"BayamÃ³n","PR","4","2","0.50","0.00","0.50"
"Monterey","CA","7","2","0.50","0.50","0.00"
"Bayfield","WI","3","2","0.00","0.50","0.50"
"Montgomery","IN","5","2","0.50","0.50","0.00"
"Montgomery","TX","5","2","0.00","0.00","1.00"
"Moore","NC","4","2","0.00","0.50","0.50"
"Morgan","IN","2","2","0.50","0.00","0.50"
"Callaway","MO","4","2","0.50","0.50","0.00"
"Adams","WA","2","2","0.50","0.50","0.00"
"Ector","TX","3","2","0.00","1.00","0.00"
"Murray","OK","2","2","0.50","0.50","0.00"
"Muscatine","IA","2","2","0.50","0.00","0.50"
"Muscogee","GA","4","2","0.50","0.50","0.00"
"Muskingum","OH","6","2","0.00","0.50","0.50"
"Napa","CA","5","2","0.50","0.50","0.00"
"Camden","MO","4","2","0.00","1.00","0.00"
"Navarro","TX","8","2","1.00","0.00","0.00"
"Nelson","VA","5","2","0.00","1.00","0.00"
"Nome","AK","6","2","0.00","0.00","1.00"
"Norfolk","MA","14","2","0.50","0.50","0.00"
"Norfolk","VA","4","2","0.00","1.00","0.00"
"Norman","MN","3","2","0.50","0.50","0.00"
"Northampton","NC","4","2","1.00","0.00","0.00"
"Northumberland","PA","7","2","0.00","1.00","0.00"
"Northwest Arctic","AK","5","2","0.00","1.00","0.00"
"Ocean","NJ","9","2","0.50","0.50","0.00"
"Arapahoe","CO","7","2","0.50","0.50","0.00"
"Oconee","SC","8","2","0.50","0.00","0.50"
"Emmet","MI","3","2","0.00","1.00","0.00"
"Erie","PA","10","2","0.00","0.50","0.50"
"Olmsted","MN","4","2","0.00","1.00","0.00"
"Ontario","NY","4","2","1.00","0.00","0.00"
"Ontonagon","MI","3","2","0.00","1.00","0.00"
"Orange","NC","3","2","0.00","1.00","0.00"
"Orange","VT","6","2","0.50","0.00","0.50"
"Orleans","VT","11","2","0.50","0.50","0.00"
"Osage","KS","3","2","0.50","0.00","0.50"
"Evans","GA","3","2","0.50","0.00","0.50"
"Osceola","FL","4","2","0.50","0.50","0.00"
"Oswego","NY","7","2","0.00","0.50","0.50"
"Ottawa","MI","9","2","0.00","0.50","0.50"
"Carlton","MN","2","2","1.00","0.00","0.00"
"Caroline","MD","2","2","0.00","0.50","0.50"
"Panola","TX","5","2","0.50","0.50","0.00"
"Fauquier","VA","6","2","0.50","0.50","0.00"
"Paulding","OH","4","2","0.00","1.00","0.00"
"Pecos","TX","3","2","0.00","1.00","0.00"
"Pembina","ND","4","2","0.50","0.50","0.00"
"Pender","NC","3","2","0.50","0.50","0.00"
"Peoria","IL","8","2","0.50","0.50","0.00"
"Perry","IN","7","2","0.50","0.00","0.50"
"Perry","KY","4","2","0.00","0.50","0.50"
"Person","NC","5","2","0.50","0.50","0.00"
"Carroll","NH","11","2","0.50","0.50","0.00"
"Fond du Lac","WI","3","2","0.50","0.00","0.50"
"Carroll","VA","4","2","0.00","0.50","0.50"
"Pima","AZ","16","2","0.00","1.00","0.00"
"Bell","TX","9","2","0.50","0.00","0.50"
"Pipestone","MN","4","2","0.00","1.00","0.00"
"Platte","MO","6","2","1.00","0.00","0.00"
"Plymouth","MA","12","2","1.00","0.00","0.00"
"Belmont","OH","7","2","0.00","0.50","0.50"
"Polk","MN","6","2","0.50","0.50","0.00"
"Beltrami","MN","4","2","0.50","0.00","0.50"
"Arkansas","AR","6","2","0.00","1.00","0.00"
"Portage","OH","6","2","0.00","0.50","0.50"
"Franklin","MA","12","2","0.50","0.50","0.00"
"Franklin","MO","8","2","0.50","0.00","0.50"
"Franklin","TN","3","2","0.00","1.00","0.00"
"Aroostook","ME","6","2","0.50","0.50","0.00"
"Prowers","CO","4","2","1.00","0.00","0.00"
"Fremont","CO","4","2","0.50","0.50","0.00"
"Frontier","NE","3","2","1.00","0.00","0.00"
"Fulton","GA","8","2","0.50","0.50","0.00"
"Quay","NM","2","2","0.00","0.00","1.00"
"Queens","NY","13","2","0.00","0.50","0.50"
"Cass","MN","4","2","0.50","0.50","0.00"
"Racine","WI","4","2","0.00","0.00","1.00"
"Ramsey","MN","11","2","0.00","0.00","1.00"
"Randolph","IN","5","2","0.00","0.50","0.50"
"Randolph","WV","9","2","0.50","0.50","0.00"
"Rappahannock","VA","4","2","0.50","0.50","0.00"
"Ray","MO","2","2","0.50","0.50","0.00"
"Galveston","TX","6","2","1.00","0.00","0.00"
"Rensselaer","NY","8","2","0.50","0.50","0.00"
"Rice","KS","4","2","0.00","1.00","0.00"
"Rice","MN","4","2","0.50","0.50","0.00"
"Ashe","NC","6","2","0.50","0.50","0.00"
"Catawba","NC","4","2","0.00","0.50","0.50"
"Richmond","NY","3","2","0.50","0.50","0.00"
"Riley","KS","3","2","0.50","0.50","0.00"
"Robeson","NC","6","2","0.50","0.50","0.00"
"Rock","WI","5","2","1.00","0.00","0.00"
"Cecil","MD","9","2","0.50","0.50","0.00"
"Gibson","IN","5","2","1.00","0.00","0.00"
"Gila","AZ","7","2","0.00","1.00","0.00"
"Routt","CO","4","2","0.00","0.50","0.50"
"Gilmer","WV","6","2","0.00","0.50","0.50"
"Gloucester","NJ","10","2","0.50","0.00","0.50"
"San Juan","NM","7","2","0.50","0.50","0.00"
"Ashtabula","OH","3","2","0.50","0.50","0.00"
"San Patricio","TX","5","2","0.00","1.00","0.00"
"Sanders","MT","5","2","0.50","0.50","0.00"
"Berks","PA","9","2","0.00","0.50","0.50"
"Saunders","NE","6","2","0.50","0.00","0.50"
"Sawyer","WI","2","2","0.00","0.50","0.50"
"Schoharie","NY","6","2","0.50","0.00","0.50"
"Grand Isle","VT","6","2","0.50","0.50","0.00"
"Berkshire","MA","13","2","0.00","0.50","0.50"
"Schuyler","NY","5","2","0.00","1.00","0.00"
"Grant","OR","3","2","0.00","1.00","0.00"
"Seminole","FL","3","2","1.00","0.00","0.00"
"Granville","NC","4","2","0.50","0.50","0.00"
"Sevier","UT","3","2","0.00","0.50","0.50"
"Shasta","CA","6","2","0.50","0.50","0.00"
"Shelby","AL","5","2","1.00","0.00","0.00"
"Shenandoah","VA","4","2","1.00","0.00","0.00"
"Berrien","MI","5","2","1.00","0.00","0.00"
"Sheridan","MT","6","2","1.00","0.00","0.00"
"Greenbrier","WV","4","2","0.50","0.50","0.00"
"Shoshone","ID","4","2","0.00","1.00","0.00"
"Sioux","IA","6","2","0.00","1.00","0.00"
"Snyder","PA","4","2","0.50","0.50","0.00"
"Somerset","NJ","8","2","0.50","0.00","0.50"
"Somerset","PA","11","2","0.50","0.00","0.50"
"Southampton","VA","2","2","0.50","0.00","0.50"
"Cherry","NE","5","2","0.50","0.50","0.00"
"St. Croix","WI","3","2","0.50","0.50","0.00"
"Grundy","TN","4","2","0.50","0.50","0.00"
"Guadalupe","TX","3","2","0.50","0.50","0.00"
"Hale","AL","2","2","0.00","0.50","0.50"
"Hale","TX","2","2","1.00","0.00","0.00"
"Stoddard","MO","4","2","0.00","0.50","0.50"
"Story","IA","6","2","0.00","1.00","0.00"
"Strafford","NH","5","2","0.00","0.50","0.50"
"Stutsman","ND","5","2","0.00","0.00","1.00"
"Chippewa","MI","5","2","0.50","0.00","0.50"
"Hamilton","NE","5","2","0.00","0.50","0.50"
"Hamilton","NY","6","2","0.50","0.50","0.00"
"Hamilton","TN","10","2","0.00","0.50","0.50"
"Sumter","AL","4","2","1.00","0.00","0.00"
"Sussex","DE","8","2","0.50","0.50","0.00"
"Sussex","VA","6","2","0.00","0.50","0.50"
"Sutton","TX","2","2","0.50","0.50","0.00"
"Hampshire","WV","7","2","0.50","0.50","0.00"
"Hampton","SC","3","2","0.50","0.00","0.50"
"Tama","IA","3","2","0.00","0.00","1.00"
"Taney","MO","7","2","0.00","0.50","0.50"
"Tazewell","VA","5","2","0.00","0.50","0.50"
"Teton","WY","5","2","0.50","0.50","0.00"
"Hardin","OH","4","2","1.00","0.00","0.00"
"Tillman","OK","3","2","0.50","0.50","0.00"
"Tioga","PA","5","2","0.50","0.00","0.50"
"Harlan","KY","6","2","0.50","0.00","0.50"
"Toa Baja","PR","2","2","0.50","0.50","0.00"
"Tom Green","TX","4","2","0.50","0.00","0.50"
"Blaine","ID","5","2","0.00","0.50","0.50"
"Harrison","MS","3","2","0.50","0.50","0.00"
"Trinity","TX","6","2","0.50","0.50","0.00"
"Harrison","TX","3","2","0.50","0.50","0.00"
"Harrisonburg","VA","3","2","0.50","0.50","0.00"
"Turner","GA","2","2","0.50","0.50","0.00"
"Clarion","PA","7","2","0.50","0.00","0.50"
"Harvey","KS","4","2","1.00","0.00","0.00"
"Clark","AR","2","2","0.50","0.00","0.50"
"Henderson","NC","2","2","1.00","0.00","0.00"
"Union","OR","3","2","0.50","0.50","0.00"
"Henrico","VA","3","2","1.00","0.00","0.00"
"Utah","UT","3","2","0.50","0.50","0.00"
"Henry","KY","5","2","0.00","0.50","0.50"
"Henry","OH","4","2","0.50","0.50","0.00"
"Vermilion","IL","11","2","0.00","1.00","0.00"
"Hertford","NC","4","2","0.00","0.50","0.50"
"Volusia","FL","9","2","0.00","1.00","0.00"
"Walker","AL","2","2","0.00","0.50","0.50"
"Walsh","ND","3","2","1.00","0.00","0.00"
"Hillsborough","NH","20","2","0.50","0.50","0.00"
"Clay","FL","3","2","0.00","0.00","1.00"
"Hockley","TX","2","2","0.00","0.00","1.00"
"Holmes","OH","6","2","0.50","0.00","0.50"
"Blount","TN","5","2","0.50","0.00","0.50"
"Warren","OH","4","2","0.50","0.50","0.00"
"Hopkins","TX","4","2","0.50","0.50","0.00"
"Horry","SC","6","2","0.00","1.00","0.00"
"Houston","AL","3","2","0.50","0.50","0.00"
"Washington","ME","8","2","1.00","0.00","0.00"
"Washington","MN","7","2","0.00","0.50","0.50"
"Washington","OR","8","2","0.50","0.50","0.00"
"Washington","RI","3","2","0.50","0.50","0.00"
"Howard","MD","3","2","1.00","0.00","0.00"
"Washington","UT","6","2","0.50","0.00","0.50"
"Washington","VT","9","2","1.00","0.00","0.00"
"Humboldt","IA","5","2","0.50","0.00","0.50"
"Wayne","NY","7","2","0.50","0.50","0.00"
"Webb","TX","2","2","0.00","0.00","1.00"
"Hunterdon","NJ","10","2","0.00","0.50","0.50"
"Huron","OH","2","2","0.00","0.50","0.50"
"Weld","CO","7","2","0.50","0.50","0.00"
"Wells","IN","6","2","0.50","0.00","0.50"
"Bonneville","ID","2","2","0.00","1.00","0.00"
"Wetzel","WV","4","2","0.00","0.50","0.50"
"Whatcom","WA","6","2","0.50","0.50","0.00"
"White","TN","2","2","1.00","0.00","0.00"
"Whitley","KY","5","2","0.00","0.50","0.50"
"Ingham","MI","7","2","0.50","0.50","0.00"
"Iowa","IA","6","2","0.00","0.50","0.50"
"Iowa","WI","3","2","0.50","0.50","0.00"
"Iron","MO","5","2","0.50","0.00","0.50"
"Williamson","TN","4","2","1.00","0.00","0.00"
"Williamson","TX","5","2","0.50","0.00","0.50"
"Windham","CT","4","2","0.00","1.00","0.00"
"Windsor","VT","9","2","0.00","0.50","0.50"
"Isle of Wight","VA","3","2","0.00","0.50","0.50"
"Itasca","MN","5","2","0.00","0.50","0.50"
"Worcester","MD","4","2","0.00","0.50","0.50"
"Yamhill","OR","5","2","0.50","0.50","0.00"
"Boone","KY","2","2","0.00","0.00","1.00"
"York","PA","11","2","0.50","0.50","0.00"
"Yuma","AZ","4","2","0.50","0.00","0.50"
"Boone","MO","3","2","0.00","1.00","0.00"
"Coconino","AZ","8","2","0.00","0.50","0.50"
"Coffee","AL","3","2","1.00","0.00","0.00"
"Colbert","AL","4","2","0.50","0.50","0.00"
"Jeff Davis","GA","3","2","0.00","1.00","0.00"
"Jefferson","KY","6","2","1.00","0.00","0.00"
"Boone","WV","6","2","0.50","0.00","0.50"
"Colleton","SC","3","2","1.00","0.00","0.00"
"Jefferson","TX","7","2","1.00","0.00","0.00"
"Collier","FL","9","2","0.50","0.00","0.50"
"Augusta","VA","4","2","0.50","0.00","0.50"
